date,rmse,mae,r2,mape,n_samples,fold
2024-01-05,0.6901363918430249,0.4285513472733447,0.4791778011861225,269.31413663942993,7864,1
2024-01-06,0.6845136051771302,0.42827098412184794,0.47899253695948074,256.72206128561487,7864,1
2024-01-07,0.6642039726313703,0.4194635489089239,0.44275518105083256,274.20038661236356,7864,1
2024-01-08,0.6533098240569991,0.4022426044338884,0.44856545212354115,208.7232747182798,7864,1
2024-01-09,0.6466459682881542,0.3979425802795801,0.4466208620981035,227.75835199002046,7864,1
2024-01-10,0.6449857687836796,0.39638188885787684,0.44964553757687953,208.5781885541746,7864,1
2024-01-11,0.6465407748139338,0.39745457665839506,0.45091767493269175,213.0629170142315,7864,1
2024-01-12,0.654637168371526,0.4022720895015828,0.4603070141434671,282.61165305670755,7864,2
2024-01-13,0.6534683173421019,0.404165766293408,0.46489741681693175,243.04610314030515,7864,2
2024-01-14,0.6440652127124661,0.401820322749629,0.4471898057463036,259.83433548426444,7864,2
2024-01-15,0.6422455949457034,0.39570008290510905,0.44842089491739834,235.64526197352785,7864,2
2024-01-16,0.6511479459597985,0.39912102287950607,0.44608941594967044,260.02040386257653,7864,2
2024-01-17,0.6529932886100002,0.40051864035526813,0.44921601812049894,256.8875353037747,7864,2
2024-01-18,0.6545748627218292,0.40267935829931234,0.451112216573464,263.0773129369514,7864,2
2024-01-19,0.6637327948413696,0.4079053474741719,0.4613598124162698,305.1415543944569,7864,3
2024-01-20,0.6649193591636766,0.4109784156901632,0.46389020129806835,271.1776781916701,7864,3
2024-01-21,0.6539641301528968,0.4095123386378549,0.44417415264945703,321.3505769537666,7864,3
2024-01-22,0.6464221512033355,0.40060090731557213,0.45176415808112824,249.04019113022383,7864,3
2024-01-23,0.645920431621848,0.3987792736847802,0.4534204342922604,246.0116165855904,7864,3
2024-01-24,0.6525440421629491,0.40210191296353737,0.45345130568227177,241.88514494440057,7864,3
2024-01-25,0.6557894653504874,0.406350010737839,0.45214681094251497,242.82634150098767,7864,3
2024-01-26,0.6846188421361247,0.4147974385927397,0.4513622742085647,311.6900540463241,7864,4
2024-01-27,0.6775171587841733,0.4163906406171647,0.45420665943771144,284.4193566493449,7864,4
2024-01-28,0.6559301374656833,0.4111584463398249,0.4410162343089312,263.15238864368285,7864,4
2024-01-29,0.6457915631831747,0.40142095184544413,0.45030570663282765,260.14755345178054,7864,4
2024-01-30,0.6375883007191354,0.3979239293640427,0.45151293448862606,242.76881785373354,7864,4
2024-01-31,0.636221829257274,0.3946020386163971,0.45500416839390057,242.14993661293752,7864,4
2024-02-01,0.6699440531789095,0.4036897282923415,0.4397611998616924,232.97606340432827,7864,4
2024-02-02,0.6703130253740709,0.41154754237596886,0.45662837247928934,275.13447112289765,7864,5
2024-02-03,0.6693052472058876,0.41301054806501664,0.4615961857623686,250.73192802433374,7864,5
2024-02-04,0.6586956560413711,0.4107793969209568,0.4420331287903402,267.4576313148818,7864,5
2024-02-05,0.6541158382663143,0.40344620983204016,0.4502271493126465,231.60438280869153,7864,5
2024-02-06,0.6625305544346313,0.40430213992420533,0.445760842602302,253.1172797301592,7864,5
2024-02-07,0.662726664015463,0.4043529892658079,0.4464453523318743,244.29654890391865,7864,5
2024-02-08,0.6652740742932163,0.4067615417882729,0.4474753532369228,229.29550415407846,7864,5
